corpus	words	glyph	glyph_char	count	per1k	OPEN	CLOSE	MIDWORD	ISOLATED
stitched__knx-x-bajare_reg	168678	APOS_STRAIGHT	'	15707	93.118	45	7808	7803	51
stitched__lmn-x-anjara_reg	171622	DQUOTE_STRAIGHT	"	96	0.559	30	4	2	60
stitched__lmn-x-anjara_reg	171622	APOS_STRAIGHT	'	101	0.589	31	0	0	70
stitched__lmn-x-anjara_reg	171622	LSQUO	‘	354	2.063	353	0	0	1
stitched__lmn-x-anjara_reg	171622	RSQUO	’	358	2.086	1	55	0	302
stitched__lmn-x-anjara_reg	171622	LDQUO	“	833	4.854	811	0	0	22
stitched__lmn-x-anjara_reg	171622	RDQUO	”	773	4.504	1	96	0	676
stitched__mhi-x-burolo_reg	181124	DQUOTE_STRAIGHT	"	1460	8.061	445	54	0	961
stitched__mhi-x-burolo_reg	181124	APOS_STRAIGHT	'	10103	55.779	3905	196	5882	120
stitched__mhi-x-burolo_reg	181124	LSQUO	‘	3554	19.622	3509	0	14	31
stitched__mhi-x-burolo_reg	181124	RSQUO	’	8122	44.842	48	110	7931	33
stitched__mhi-x-burolo_reg	181124	LDQUO	“	660	3.644	496	0	0	164
stitched__mhi-x-burolo_reg	181124	RDQUO	”	487	2.689	14	114	3	356
stitched__mhi-x-burolo_reg	181124	BACKTICK	`	4	0.022	1	0	2	1
stitched__mji-x-daoaodai_reg	227192	DQUOTE_STRAIGHT	"	305	1.342	148	2	0	155
stitched__mji-x-daoaodai_reg	227192	APOS_STRAIGHT	'	22	0.097	5	3	0	14
stitched__mji-x-daoaodai_reg	227192	LSQUO	‘	8	0.035	8	0	0	0
stitched__mji-x-daoaodai_reg	227192	RSQUO	’	86	0.379	0	68	0	18
stitched__mji-x-daoaodai_reg	227192	LDQUO	“	2166	9.534	2129	1	0	36
stitched__mji-x-daoaodai_reg	227192	RDQUO	”	3312	14.578	8	26	0	3278
stitched__mji-x-daoaodai_reg	227192	BACKTICK	`	3	0.013	1	1	0	1
stitched__nar_reg	168329	DQUOTE_STRAIGHT	"	1059	6.291	532	194	2	331
stitched__nar_reg	168329	APOS_STRAIGHT	'	1258	7.473	152	79	824	203
stitched__nar_reg	168329	BACKTICK	`	6	0.036	3	0	0	3
stitched__ndc-x-chiducua_reg	108767	DQUOTE_STRAIGHT	"	166	1.526	61	71	0	34
stitched__ndc-x-chiducua_reg	108767	APOS_STRAIGHT	'	1118	10.279	70	325	252	471
stitched__ndc-x-chiducua_reg	108767	LSQUO	‘	362	3.328	361	0	0	1
stitched__ndc-x-chiducua_reg	108767	RSQUO	’	234	2.151	1	53	0	180
stitched__ndc-x-chiducua_reg	108767	LDQUO	“	1711	15.731	1704	0	0	7
stitched__ndc-x-chiducua_reg	108767	RDQUO	”	1245	11.446	6	197	0	1042
stitched__ndc-x-chiducua_reg	108767	BACKTICK	`	4	0.037	0	3	1	0
stitched__nfd_reg	163592	DQUOTE_STRAIGHT	"	2570	15.710	979	202	19	1370
stitched__nfd_reg	163592	APOS_STRAIGHT	'	1179	7.207	193	43	500	443
stitched__rmn-BG-horohane_reg	151216	DQUOTE_STRAIGHT	"	559	3.697	76	217	0	266
stitched__rmn-BG-horohane_reg	151216	APOS_STRAIGHT	'	26	0.172	3	4	0	19
stitched__scg-x-mayau_reg	179772	DQUOTE_STRAIGHT	"	3147	17.506	1311	46	19	1771
stitched__scg-x-mayau_reg	179772	APOS_STRAIGHT	'	352	1.958	23	7	183	139
stitched__scg-x-mayau_reg	179772	BACKTICK	`	19	0.106	0	1	18	0
stitched__tel-x-gusavu_reg	128733	DQUOTE_STRAIGHT	"	15	0.117	6	2	0	7
stitched__tel-x-gusavu_reg	128733	APOS_STRAIGHT	'	172	1.336	47	14	0	111
stitched__tel-x-gusavu_reg	128733	DIGRAPH_CLOSE	>>	1	0.008	0	0	0	0
stitched__wbj_reg	137825	DQUOTE_STRAIGHT	"	664	4.818	345	46	1	272
stitched__wbj_reg	137825	APOS_STRAIGHT	'	713	5.173	11	11	45	646
stitched__wci_reg	175960	DQUOTE_STRAIGHT	"	640	3.637	270	123	11	236
stitched__wci_reg	175960	APOS_STRAIGHT	'	99	0.563	10	27	23	39
stitched__wci_reg	175960	LAQUO	«	157	0.892	119	1	12	25
stitched__wci_reg	175960	RAQUO	»	116	0.659	3	40	4	69
stitched__wci_reg	175960	DIGRAPH_OPEN	<<	96	0.546	0	0	0	0
stitched__xem-x-hibun_reg	159088	DQUOTE_STRAIGHT	"	2148	13.502	798	38	5	1307
stitched__xem-x-hibun_reg	159088	APOS_STRAIGHT	'	8762	55.076	916	1718	3792	2336
stitched__xem-x-hibun_reg	159088	LDQUO	“	2	0.013	2	0	0	0
stitched__xem-x-hibun_reg	159088	RDQUO	”	3	0.019	0	0	0	3
stitched__ybj_reg	169310	DQUOTE_STRAIGHT	"	1637	9.669	816	84	2	735
stitched__ybj_reg	169310	APOS_STRAIGHT	'	3389	20.017	470	233	1208	1478
stitched__ybj_reg	169310	BACKTICK	`	2	0.012	0	1	1	0
stitched__yun_reg	188982	DQUOTE_STRAIGHT	"	3192	16.890	1306	239	1	1646
stitched__yun_reg	188982	APOS_STRAIGHT	'	1295	6.853	280	65	470	480
stitched__yun_reg	188982	BACKTICK	`	3	0.016	0	0	0	3
